theta_degrees,seed_error_degrees,first_correction_error_degrees,second_correction_error_degrees
1,2.05664501385396752e-7,4.83058314633618534e-26,6.25922028464290847e-82
60,0.0450029780957972682,5.06110493928575142e-10,7.19875805719648222e-34
120,0.374831118877500563,2.92435726742969268e-7,1.38871407782351632e-25
210,2.27403434607163487,0.0000653107651339308708,1.54694853616679299e-18
